"SSN","Site","Cluster","Plot","Depth","Longitude","Latitude","SSN.XRPD","Quartz","Kaolinite","Goethite","K-feldspar","Plagioclase","Smectite (ML)","Organic matter","Halloysite","Mica (Tri)","Gibbsite","Ferrihydrite","Illite","Opal","Glass","Pyroxene","Ilmenite","Amphibole","Hematite","Maghemite","Vermiculite","Dickite","Muscovite","Mica (Di)","Magnetite","Calcite","Magnesite","Rutile","Smectite (Di)","Anatase","Olivine","Anhydrite","Apatite","Ankerite","Glauconite","Corundum","Palygorskite","Humic","Bassanite","Dolomite","Gypsum","Cristobalite","Siderite","Background"
"icr005971","Chinyanghuku",3,4,"Topsoil",36.09030914,-6.887218,"icr005965",20.4237,0,5.8453,4.5553,39.6055,0,3.1464,2.5077,4.1197,0,3.5693,4.8227,0,0,0,0,2.2006,0.5793,0,0,0,0,2.6975,0,2.5764,0,0,0,0,0,0.9571,0,2.2106,0,0,0,0,0,0,0,0.182,0,8e-04
"icr005972","Chinyanghuku",3,4,"Subsoil",36.09030914,-6.887218,"icr005966",26.4686,0,4.7464,4.119,38.9771,0,2.2263,2.7088,5.9744,0,4.0749,4.3516,0,0,0,0,1.1201,0.4384,0,0,0,0,1.6915,0,0.7149,0,0,0,0,0,0.7489,0,1.4282,0,0,0,0,0,0,0,0.2102,0,7e-04
"icr005990","Chinyanghuku",4,8,"Topsoil",36.10004807,-6.86531687,"icr005985",55.1344,0,3.1864,8.2098,23.4078,1.8702,1.3818,0,1.3205,0,0,4.1969,0,0,0,0,1.2919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3e-04
"icr005991","Chinyanghuku",4,8,"Subsoil",36.10004807,-6.86531687,"icr005986",27.7351,4.7952,4.1813,6.7246,21.8804,9.4939,3.4202,3.9356,7.8843,0,2.5011,0,0,0,0,0,2.3404,0.5005,0,0,0,0,0,0,4.6071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3e-04
"icr006115","Chinyanghuku",11,8,"Topsoil",36.1339,-6.89424,"icr006101",37.6474,0,4.2647,12.0982,20.3628,2.4961,3.7413,4.8176,3.794,0,2.2292,2.5477,0,0,0,0,0.7736,0.4078,0,0,0,0,2.5681,0,0.9342,0,0,0,0,0,0.523,0,0.5581,0,0,0,0,0,0,0,0.236,0,2e-04
"icr006116","Chinyanghuku",11,8,"Subsoil",36.1339,-6.89424,"icr006102",24.4852,0,6.124,10.8031,25.5511,2.8106,3.7197,5.6645,6.7205,0,2.1404,3.2613,0,0,0,0,1.8212,1.1475,0,0,0,0,2.0465,0.4172,1.2127,0,0,0,0,0,0.8003,0,0.9652,0,0,0,0,0,0,0,0.3083,0,6e-04
"icr006130","Chinyanghuku",12,8,"Topsoil",36.14284897,-6.85878706,"icr006121",32.8464,0,3.8241,8.8731,33.3597,0,2.9926,5.829,2.7032,0,2.42,2.6598,0,0,0,0,0.9348,0.5278,0,0,0,0,1.729,0,0,0,0,0,0,0,0.6255,0,0.6744,0,0,0,0,0,0,0,0,0,7e-04
"icr006131","Chinyanghuku",12,8,"Subsoil",36.14284897,-6.85878706,"icr006122",27.2592,4.5137,4.6489,9.2236,35.3348,0,3.0836,3.3556,5.4523,0,0.9998,2.8532,0,0,0,0,1.0108,0.6538,0,0,0,0,0,0,0,0,0,0,0,0,0.5812,0,0.7075,0,0,0,0,0,0,0,0.3214,0,6e-04
"icr006454","Pandambili",1,1,"Topsoil",36.44020081,-6.12600994,"icr006454",56.8665,0,0,7.8019,5.7256,7.067,4.6429,0,1.4551,0,1.0519,12.6063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7824,0,0,0,0,0,0,0,0,5e-04
"icr006455","Pandambili",1,1,"Subsoil",36.44020081,-6.12600994,"icr006455",61.2265,0,0,8.2253,5.3849,5.2632,2.6024,0,2.2744,0,0.7327,10.0342,0,0,0,0,0,0,0,0,0,0,0,0,1.6545,0,0,0,0,0,0,0,0,2.6014,0,0,0,0,0,0,0,0,5e-04
